num_distr,trials.mouse.time,trials.mouse.clicked_name,,
5,1.7717311,['target'],set size 5,set size 10
10,1.3488904,"[None, 'target']",,
10,1.1646849,['target'],1.215814668,1.31606998
5,1.057936,['target'],,
10,1.1480697,['target'],,
5,1.47405,['target'],,
10,1.8969896,['target'],,
5,1.0404446,['target'],,
5,1.0726453,['target'],,
10,1.8325414,['target'],,
5,1.341044,['target'],,
10,1.3317076,['target'],,
10,0.9328462,['target'],,
5,0.9576525,['target'],,
5,0.9242542,['target'],,
5,1.2403276,['target'],,
5,0.9243966,['target'],,
5,1.140628,['target'],,
10,1.0470076,['target'],,
10,1.3822371,['target'],,
10,1.4820998,['target'],,
5,1.0898845,['target'],,
10,1.1966841,['target'],,
10,1.8310266,['target'],,
5,1.4406624,['target'],,
10,1.0129696,['target'],,
10,2.0995584,['target'],,
5,1.2732205,['target'],,
10,1.5812056,['target'],,
5,1.207361,['target'],,
10,1.4486792,"[None, 'target']",,
5,1.1743689,['target'],,
10,1.1478555,['target'],,
10,1.1000545,['target'],,
10,1.1649668,['target'],,
10,1.0163506,['target'],,
10,1.2320297,['target'],,
5,1.3246974,['target'],,
10,1.0650656,['target'],,
5,1.107206,['target'],,
5,1.2568888,"[None, 'target']",,
10,0.998681,['target'],,
5,1.0742971,['target'],,
10,1.2317341,['target'],,
5,1.1740393,"[None, 'target']",,
10,1.0649058,['target'],,
10,1.1660591,['target'],,
5,0.7747913,['target'],,
10,1.0824216,"[None, 'target']",,
5,1.4733501,['target'],,
10,1.480624,['target'],,
5,1.7737832,['target'],,
10,1.4488198,"[None, None, 'target']",,
5,1.2908125,['target'],,
5,1.6898067,['target'],,
5,1.3232547,['target'],,
10,1.4639062,['target'],,
5,1.2416032,['target'],,
5,1.0899683,['target'],,
10,1.2494818,['target'],,
10,1.2663794,['target'],,
10,1.1500286,['target'],,
5,1.2238098,['target'],,
5,1.2234311,['target'],,
5,1.1067193,['target'],,
10,1.3803444,['target'],,
10,1.3452505,['target'],,
5,1.1251037,['target'],,
5,0.9220481,['target'],,
10,1.4168251,['target'],,
5,1.6064361,['target'],,
5,1.0921075,['target'],,
10,1.3305831,['target'],,
10,1.2822972,['target'],,
5,1.1907958,['target'],,
10,1.2995243,['target'],,
10,2.2323959,['target'],,
5,1.2563545,"[None, 'target']",,
5,1.1898102,['target'],,
10,1.199449,['target'],,
5,1.3079287,['target'],,
5,1.4391436,['target'],,
5,1.3902789,['target'],,
5,0.8574695,['target'],,
10,0.932956,['target'],,
10,1.1005889,['target'],,
10,1.6316554,['target'],,
5,1.1578953,['target'],,
10,1.0820876,['target'],,
10,1.5661914,['target'],,
5,1.20681,['target'],,
10,1.0316735,['target'],,
10,1.3565288,['target'],,
10,1.1668686,['target'],,
5,1.3074971,['target'],,
10,1.3817174,"[None, 'target']",,
5,1.091578,['target'],,
5,1.1892543,"[None, 'target']",,
5,0.9410256,['target'],,
5,1.2401305,['target'],,
