num_distr,trials.mouse.time,trials.mouse.clicked_name,,
5,1.1716988,target',Set size 5,set size 10
5,4.3052769,target',1.297289721,1.307864576
5,1.2406366,target',,
10,1.1651322,target',,
10,1.0314254,target',,
5,1.0743174,target',,
5,"[1.023698200006038, 1.7230168000096455]","[None, 'target']",,
10,1.1825594,target',,
5,1.1063465,target',,
10,1.2975783,target',,
10,1.25018,target',,
10,1.2486704,target',,
5,1.2512409,target',,
10,1.0153373,target',,
10,1.4820663,target',,
5,1.6400838,target',,
10,1.5793911,target',,
10,1.3156865,target',,
5,1.091503,target',,
10,1.2474297,target',,
10,1.2492423,target',,
10,1.5808116,target',,
10,1.6811202,target',,
10,1.3658153,target',,
5,1.2079302,target',,
10,1.3813356,target',,
5,"[1.038500299968291, 1.804424099973403]","[None, 'target']",,
5,0.9915869,target',,
10,2.3639795,target',,
5,1.0244264,target',,
10,1.347621,target',,
10,2.2320506,target',,
5,1.1065751,target',,
5,1.0414633,target',,
10,1.1648914,target',,
5,1.125203,target',,
10,"[1.0813455000170507, 1.7475242000073195, 2.5462778999935836]","[None, None, 'target']",,
10,1.4489215,target',,
5,1.0910361,target',,
10,0.6812456,target',,
10,1.013259,target',,
10,1.8645107,target',,
5,1.5064555,target',,
5,1.224264,target',,
5,1.324171,target',,
5,1.1551308,target',,
5,1.007754,target',,
10,1.5311618,target',,
10,0.9003992,target',,
5,1.4212528,target',,
10,1.3489778,target',,
10,1.632528,target',,
10,1.1804204,target',,
10,1.6614192,target',,
10,1.0290999,target',,
5,1.0564089,target',,
10,1.4113407,target',,
10,1.5800733,target',,
10,1.060336,target',,
10,1.063512,target',,
10,1.1656035,target',,
5,1.5898756,target',,
10,1.081734,target',,
10,0.7991861,target',,
10,1.1479912,target',,
5,1.556084,target',,
10,1.2488123,target',,
5,1.5075803,target',,
10,1.0490182,target',,
10,1.8147263,target',,
5,"[1.5070090999943204, 2.289436499995645]","[None, 'target']",,
10,1.0467898,target',,
10,0.8342026,target',,
5,1.7054597,target',,
5,1.8728128,target',,
5,1.5234319,target',,
10,1.4498936,target',,
10,1.1323039,target',,
5,1.0910112,target',,
10,1.329995,target',,
5,1.1582108,target',,
5,1.4402607,target',,
5,1.1241158,target',,
5,1.0898623,target',,
10,1.149367,target',,
5,1.1732236,target',,
10,1.3154674,target',,
10,1.2492998,target',,
10,1.4579958,target',,
5,1.2074893,target',,
5,1.1568851,target',,
5,1.2400714,target',,
5,0.8739663,target',,
5,1.0569899,target',,
5,1.0401911,target',,
10,1.6294304,target',,
10,1.1002101,target',,
10,1.0331309,target',,
5,0.8078569,target',,
5,1.1060277,target',,
