num_distr,trials.mouse.time,trials.mouse.clicked_name,,,
10,1.0937306,['target'],,set size 5,set 10
10,0.999308,['target'],,1.195794841,1.197080489
5,1.1571468,['target'],,,
10,1.0154122,['target'],,,
10,1.0658744,['target'],,,
10,1.2324394,['target'],,,
10,1.3323925,['target'],,,
10,1.0830688,['target'],,,
5,1.2555886,['target'],,,
10,0.9825023,['target'],,,
10,0.6992662,['target'],,,
10,1.0998963,['target'],,,
5,"[1.2579154000268318, 1.9904891000478528]","[None, 'target']",,,
10,"[1.1828513000509702, 1.898229300044477]","[None, 'target']",,,
10,1.2165018,['target'],,,
5,1.5745966,['target'],,,
10,1.2658552,['target'],,,
10,1.1812055,['target'],,,
5,"[1.058550900022965, 1.757268599991221]","[None, 'target']",,,
10,1.0983415,['target'],,,
5,1.2242028,['target'],,,
10,1.1299215,['target'],,,
5,1.2914561,['target'],,,
5,"[1.3567372999968939, 2.339040799997747]","[None, 'target']",,,
5,1.5064641,['target'],,,
5,1.374917,['target'],,,
5,1.0724368,['target'],,,
10,1.2821973,['target'],,,
5,1.0056563,['target'],,,
5,1.6738309,['target'],,,
10,1.2313681,['target'],,,
10,1.3672521,['target'],,,
10,1.0827063,['target'],,,
10,0.9992645,['target'],,,
5,1.0908206,['target'],,,
10,1.0483281,['target'],,,
10,1.0490884,['target'],,,
5,1.0900731,['target'],,,
10,1.0159557,['target'],,,
10,"[1.3160420000203885, 2.1651960000162944]","[None, 'target']",,,
5,"[1.0577951000304893, 1.7404037000378594]","[None, 'target']",,,
10,1.0820541,['target'],,,
10,1.8812894,['target'],,,
10,1.1161413,['target'],,,
10,1.0659309,['target'],,,
5,1.0405638,['target'],,,
10,1.1651424,['target'],,,
10,0.8815887,['target'],,,
10,1.1002848,['target'],,,
5,1.0740695,['target'],,,
5,0.7576579,['target'],,,
5,0.9924667,['target'],,,
5,1.1226605,['target'],,,
10,1.1144267,['target'],,,
5,"[1.175402699969709, 2.0245610999991186]","[None, 'target']",,,
10,1.3968708,['target'],,,
10,"[1.100087099999655, 1.6999598999973387]","[None, 'target']",,,
10,1.2812345,['target'],,,
10,1.2003852,['target'],,,
10,1.4150845,['target'],,,
10,"[1.26600399997551, 1.8992454999824986]","[None, 'target']",,,
5,1.0570337,['target'],,,
5,0.8897848,['target'],,,
5,1.6238928,['target'],,,
10,1.6651175,['target'],,,
10,1.3657585,['target'],,,
5,1.4903589,['target'],,,
10,1.2648292,['target'],,,
10,1.1166653,['target'],,,
10,1.5969523,['target'],,,
10,1.2985878,['target'],,,
10,1.0995647,['target'],,,
10,1.4996843,['target'],,,
5,1.3069954,['target'],,,
5,1.0893838,['target'],,,
5,1.1081548,['target'],,,
5,1.2072112,['target'],,,
5,1.1412831,['target'],,,
5,1.323717,['target'],,,
5,1.0062874,['target'],,,
10,"[1.5823149000061676, 2.2975167999975383]","[None, 'target']",,,
10,1.1828083,['target'],,,
10,0.9307133,['target'],,,
10,1.5497276,['target'],,,
10,1.1163075,['target'],,,
10,1.3001316,['target'],,,
5,1.3912376,['target'],,,
10,1.3198041,['target'],,,
10,1.2998214,['target'],,,
10,1.1828814,['target'],,,
10,1.4154476,['target'],,,
5,1.3736773,['target'],,,
5,1.1218693,['target'],,,
5,1.0577865,['target'],,,
10,1.4477729,['target'],,,
5,"[1.1067903999937698, 1.8234969999757595]","[None, 'target']",,,
5,1.0571915,['target'],,,
5,1.1065514,['target'],,,
10,1.0320625,['target'],,,
10,0.8824791,['target'],,,
