num_distr,trials.mouse.time,trials.mouse.clicked_name,,set 5,set 10
10,1.4785933,['target'],,1.171251582,1.258721067
10,0.9323065,['target'],,,
10,1.1168041,['target'],,,
10,1.0985762,['target'],,,
10,1.2482874,['target'],,,
10,1.6486633,['target'],,,
10,1.3831924,['target'],,,
5,"[1.2588544000172988, 2.0568115999922156]","[None, 'target']",,,
10,1.1804616,['target'],,,
10,1.1163937,['target'],,,
5,1.2917445,['target'],,,
10,1.1310541,['target'],,,
10,1.3496083,['target'],,,
10,1.2161458,['target'],,,
10,1.5315891,['target'],,,
10,1.0668878,['target'],,,
5,1.1059999,['target'],,,
10,1.1447626,['target'],,,
5,1.0747477,['target'],,,
10,1.4147225,['target'],,,
5,1.4070968,['target'],,,
5,1.1577133,['target'],,,
10,1.0328826,['target'],,,
5,0.9909201,['target'],,,
10,1.3807601,['target'],,,
10,1.3649726,['target'],,,
10,1.1149582,['target'],,,
5,0.9738096,['target'],,,
10,1.1322629,['target'],,,
5,1.3563421,['target'],,,
10,"[1.249545799975749, 1.9650424999999814]","[None, 'target']",,,
10,2.2984976,['target'],,,
5,1.6731401,['target'],,,
5,1.2401393,['target'],,,
5,1.1230027,['target'],,,
10,1.1986833,['target'],,,
5,1.0066331,['target'],,,
10,0.9326287,['target'],,,
5,"[1.0403804000234231, 1.7228267000173219]","[None, 'target']",,,
10,"[1.24812279996695, 1.9977568999747746]","[None, 'target']",,,
5,1.1402506,['target'],,,
10,1.0326802,['target'],,,
5,1.091658,['target'],,,
5,1.2209032,['target'],,,
5,1.7243097,['target'],,,
5,1.0734597,['target'],,,
10,1.1666851,['target'],,,
10,1.5499944,['target'],,,
10,1.4322995,['target'],,,
5,"[1.0575440999818966, 1.774057000002358]","[None, 'target']",,,
10,0.9992761,['target'],,,
5,1.1082295,['target'],,,
10,1.2135823,['target'],,,
10,1.116627,['target'],,,
10,1.2822935,['target'],,,
5,1.1914243,['target'],,,
10,"[1.4143403999623843, 2.0638491999707185]","[None, 'target']",,,
10,1.5831208,['target'],,,
10,1.2656705,['target'],,,
10,1.3655479,['target'],,,
5,1.4190015,['target'],,,
5,1.1744731,['target'],,,
10,1.3643646,['target'],,,
5,0.9751949,['target'],,,
10,"[1.1143329999758862, 2.080348299990874, 2.779974399949424]","[None, None, 'target']",,,
10,1.0493025,['target'],,,
10,1.1635039,['target'],,,
10,1.1007637,['target'],,,
10,1.0672081,['target'],,,
5,"[0.9890669999876991, 1.7884837000165135]","[None, 'target']",,,
10,1.3139046,['target'],,,
5,1.0417199,['target'],,,
10,0.9475061,['target'],,,
10,0.9518352,['target'],,,
10,1.31533,['target'],,,
10,1.082548,['target'],,,
5,0.9408179,['target'],,,
10,1.3819007,['target'],,,
10,1.5658506,['target'],,,
5,"[1.0592711999779567, 1.757004200015217]","[None, 'target']",,,
10,"[1.2316385000012815, 1.9475819999934174]","[None, 'target']",,,
5,"[1.1739518999820575, 1.855608600017149]","[None, 'target']",,,
10,1.2337675,['target'],,,
10,1.3658955,['target'],,,
10,1.4146174,['target'],,,
5,1.057538,['target'],,,
5,1.2900286,['target'],,,
5,0.9238755,['target'],,,
5,1.0586878,['target'],,,
5,1.5731022,['target'],,,
10,1.4996294,['target'],,,
10,1.181929,['target'],,,
5,1.0915285,['target'],,,
10,1.3662518,['target'],,,
5,1.1069113,['target'],,,
5,1.0727874,['target'],,,
10,"[1.3647360999602824, 2.0636486999574117]","[None, 'target']",,,
5,"[1.3745404999936, 2.0734151999931782]","[None, 'target']",,,
10,1.083357,['target'],,,
5,0.9741114,['target'],,,
