num_distr,trials.mouse.time,trials.mouse.clicked_name,,,,,,,
10,1.3962323,target',set 5,set 10,,,,,
5,1.4381027,target',1.202600615,1.283300095,,,,,
10,1.1490545,target',,,,,,,
10,1.2167714,target',,,,Summary Table,,,
10,1.4322355,target',,,,Participant,Set 5,Set 10,Slope
10,2.9985792,target',,,,1,1.215814668,1.31606998,1.113434202
5,1.5078477,target',,,,2,1.297289721,1.307864576,1.091649623
10,1.3651677,target',,,,3,1.195794841,1.197080489,0.997781349
10,1.42981,target',,,,4,1.171251582,1.258721067,1.06351247
5,"[1.1583782999659888, 1.9576276000007056]","[None, 'target']",,,,,,,
10,1.21504,target',,,,5,1.202601,1.2833,1.0828665
5,1.3401251,target',,,,,,,
5,1.206548,target',,,,,,,
5,1.3562736,target',,,,,,,
5,1.107862,target',,,,,,,
10,1.1153062,target',,,,,,,
5,"[1.0397890000022016, 1.7246052999980748]","[None, 'target']",,,,,,,
10,1.0794583,target',,,,,,,
10,1.0662131,target',,,,,,,
10,1.148357,target',,,,,,,
5,1.1243383,target',,,,,,,
10,1.2648164,target',,,,,,,
5,0.939715,target',,,,,,,
5,1.1586912,target',,,,,,,
5,1.1231749,target',,,,,,,
10,1.0661761,target',,,,,,,
5,"[1.0404768000007607, 1.7731326000066474, 2.4712618999765255, 3.1385202999808826]","[None, None, None, 'target']",,,,,,,
10,1.2166081,target',,,,,,,
5,1.1567477,target',,,,,,,
5,1.1563839,target',,,,,,,
5,1.0565912,target',,,,,,,
5,1.1907534,target',,,,,,,
10,1.2809069,target',,,,,,,
5,1.4751533,target',,,,,,,
5,1.3233756,target',,,,,,,
10,0.9822178,target',,,,,,,
10,1.548819,target',,,,,,,
10,"[1.1655623000115156, 1.8808612000430003]","[None, 'target']",,,,,,,
10,1.283359,target',,,,,,,
10,2.0315974,target',,,,,,,
10,1.3643301,target',,,,,,,
10,1.2483044,target',,,,,,,
5,1.1418667,target',,,,,,,
5,1.2065991,target',,,,,,,
5,0.9730358,target',,,,,,,
5,1.3230201,target',,,,,,,
10,1.3173077,target',,,,,,,
10,1.3486187,target',,,,,,,
5,1.0570521,target',,,,,,,
10,"[1.2149773999699391, 1.9474407999659888]","[None, 'target']",,,,,,,
10,1.2988231,target',,,,,,,
5,"[1.2396252000471577, 1.9895808000001125]","[None, 'target']",,,,,,,
5,"[1.1732929999707267, 1.8571533999638632]","[None, 'target']",,,,,,,
5,1.2723485,target',,,,,,,
5,0.9904609,target',,,,,,,
5,0.957269,target',,,,,,,
10,1.0822059,target',,,,,,,
5,1.2745215,target',,,,,,,
5,1.5729656,target',,,,,,,
5,1.2900331,target',,,,,,,
5,1.0084382,target',,,,,,,
5,1.2736312,target',,,,,,,
5,1.5060058,target',,,,,,,
10,1.5470727,target',,,,,,,
10,"[1.2002637999830768, 1.8649143000366166]","[None, 'target']",,,,,,,
10,1.1672789,target',,,,,,,
10,1.0988323,target',,,,,,,
10,0.9832717,target',,,,,,,
5,1.207375,target',,,,,,,
10,1.0634999,target',,,,,,,
5,1.1414132,target',,,,,,,
5,1.2577911,target',,,,,,,
5,1.238758,target',,,,,,,
5,1.2074364,target',,,,,,,
10,1.1343396,target',,,,,,,
5,1.3238603,target',,,,,,,
10,1.5315632,target',,,,,,,
5,"[1.0747057999833487, 1.740235599980224]","[None, 'target']",,,,,,,
5,1.7065142,target',,,,,,,
5,1.1247345,target',,,,,,,
5,1.1405836,target',,,,,,,
10,1.0829155,target',,,,,,,
10,1.366058,target',,,,,,,
10,1.282766,target',,,,,,,
5,1.0901578,target',,,,,,,
5,1.2408745,target',,,,,,,
5,1.0592059,target',,,,,,,
10,1.0486448,target',,,,,,,
5,1.0576334,target',,,,,,,
10,1.0819774,target',,,,,,,
5,1.0247008,target',,,,,,,
5,1.1890651,target',,,,,,,
10,1.0004652,target',,,,,,,
10,1.4160818,target',,,,,,,
5,1.0078247,target',,,,,,,
5,0.9068681,target',,,,,,,
5,1.2911017,target',,,,,,,
10,1.0155257,target',,,,,,,
10,0.9825379,target',,,,,,,
10,1.4327577,target',,,,,,,
