Study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,reference,old_new,fragment,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,Test_Routine.started,text_2.started,textbox.started,text_3.started,mouse.started,Test_Routine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
king,0,0,0,2.455555556,1.2097159,,,,,,,,,,,,,0,0,0,5,,,,,0.0253859,,0.0166352,0.0253859,0.0253859,1.2425127,2.455555556,1.2097159,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
teacher,1,1,0,3.255555556,0.812066,,,,,,,,,,,,,0,1,1,9,,,,,1.2581827,,1.2475227,1.2581827,1.2581827,2.0752234,3.255555556,0.812066,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
apple,2,2,0,2.538888889,0.7315886,,,,,,,,,,,,,0,2,2,23,,,,,2.0910273,,2.0779042,2.0910273,2.0910273,2.8244006,2.538888889,0.7315886,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
salt,3,3,0,2.538888889,0.5977302,,,,,,,,,,,,,0,3,3,17,,,,,2.8405683,,2.8269019,2.8405683,2.8405683,3.4406392,2.538888889,0.5977302,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
sun,4,4,0,2.538888889,0.5820404,,,,,,,,,,,,,0,4,4,3,,,,,3.4566003,,3.4424938,3.4566003,3.4566003,4.0399969,2.538888889,0.5820404,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
water,5,5,0,2.538888889,1.0801471,,,,,,,,,,,,,0,5,5,22,,,,,4.0565054,,4.0429163,4.0565054,4.0565054,5.1393969,2.538888889,1.0801471,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
fire,6,6,0,1.727777778,1.1294796,,,,,,,,,,,,,0,6,6,14,,,,,5.1551626,,5.1432981,5.1551626,5.1551626,6.2883748,1.727777778,1.1294796,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
flower,7,7,0,1.011111111,1.3975097,,,,,,,,,,,,,0,7,7,16,,,,,6.3041717,,6.2901017,6.3041717,6.3041717,7.7038377,1.011111111,1.3975097,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
baby,8,8,0,1.977777778,1.746776,,,,,,,,,,,,,0,8,8,24,,,,,7.7197803,,7.7065355,7.7197803,7.7197803,9.4691563,1.977777778,1.746776,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
car,9,9,0,2.383333333,1.2311704,,,,,,,,,,,,,0,9,9,8,,,,,9.4849337,,9.4708523,9.4849337,9.4849337,10.7177831,2.383333333,1.2311704,,,,,,,,,,,,,,,1,1,2025-11-03_20h25.21.186,Wordpriming exp.,,2025.1.1,60.10944728,2025-11-03 20h25.28.044976 +0530
