condition,textbox.text,,,,
exp,300,,,,
unexp,250,,,,
exp,100,,exp mean,,
exp,500,,466.525,,
exp,200,,,,
exp,200,,,Binding,0.559033613
exp,150,,,,
unexp,450,,,,
exp,350,,,unex mean,
unexp,250,,,467.0840336,
exp,400,,,,
unexp,100,,,,
unexp,100,,,,
unexp,120,,,,
exp,250,,,,
exp,205,,,,
exp,250,,,,
unexp,350,,,,
unexp,500,,,,
unexp,500,,,,
exp,150,,,,
unexp,500,,,,
unexp,500,,,,
unexp,500,,,,
exp,170,,,,
unexp,590,,,,
exp,250,,,,
exp,350,,,,
exp,205,,,,
unexp,400,,,,
unexp,400,,,,
exp,200,,,,
unexp,400,,,,
exp,400,,,,
unexp,400,,,,
unexp,600,,,,
exp,200,,,,
unexp,500,,,,
unexp,500,,,,
exp,400,,,,
unexp,600,,,,
exp,500,,,,
exp,200,,,,
exp,200,,,,
unexp,500,,,,
exp,400,,,,
unexp,600,,,,
unexp,700,,,,
unexp,100,,,,
unexp,800,,,,
unexp,800,,,,
unexp,600,,,,
unexp,800,,,,
exp,200,,,,
unexp,200,,,,
exp,900,,,,
exp,100,,,,
unexp,900,,,,
unexp,400,,,,
exp,300,,,,
exp,300,,,,
unexp,900,,,,
exp,900,,,,
unexp,700,,,,
unexp,500,,,,
unexp,500,,,,
exp,900,,,,
unexp,500,,,,
exp,800,,,,
exp,900,,,,
exp,100,,,,
unexp,890,,,,
exp,889,,,,
exp,250,,,,
unexp,500,,,,
exp,800,,,,
unexp,500,,,,
unexp,800,,,,
unexp,800,,,,
exp,350,,,,
exp,980,,,,
exp,100,,,,
unexp,899,,,,
unexp,999,,,,
unexp,900,,,,
exp,100,,,,
unexp,900,,,,
exp,100,,,,
unexp,900,,,,
exp,250,,,,
exp,800,,,,
unexp,900,,,,
exp,450,,,,
exp,680,,,,
exp,200,,,,
exp,900,,,,
unexp,200,,,,
exp,100,,,,
exp,700,,,,
unexp,250,,,,
unexp,890,,,,
exp,500,,,,
unexp,900,,,,
unexp,950,,,,
exp,100,,,,
unexp,700,,,,
exp,300,,,,
exp,100,,,,
exp,900,,,,
unexp,120,,,,
exp,100,,,,
unexp,900,,,,
unexp,100,,,,
exp,400,,,,
unexp,100,,,,
unexp,10,,,,
exp,120,,,,
unexp,100,,,,
unexp,150,,,,
exp,150,,,,
exp,100,,,,
unexp,150,,,,
exp,200,,,,
unexp,100,,,,
exp,900,,,,
exp,100,,,,
unexp,500,,,,
exp,500,,,,
unexp,300,,,,
exp,300,,,,
unexp,500,,,,
unexp,300,,,,
exp,250,,,,
exp,100,,,,
unexp,250,,,,
unexp,500,,,,
unexp,500,,,,
unexp,450,,,,
exp,300,,,,
exp,120,,,,
exp,130,,,,
unexp,150,,,,
exp,130,,,,
exp,900,,,,
exp,150,,,,
unexp,800,,,,
exp,450,,,,
unexp,600,,,,
unexp,600,,,,
exp,350,,,,
exp,100,,,,
exp,800,,,,
unexp,100,,,,
unexp,150,,,,
unexp,900,,,,
unexp,500,,,,
exp,700,,,,
exp,150,,,,
exp,200,,,,
exp,700,,,,
exp,900,,,,
exp,11,,,,
unexp,170,,,,
unexp,999,,,,
unexp,100,,,,
unexp,500,,,,
exp,100,,,,
exp,100,,,,
exp,100,,,,
exp,100,,,,
exp,150,,,,
unexp,800,,,,
unexp,900,,,,
unexp,500,,,,
unexp,500,,,,
unexp,900,,,,
unexp,990,,,,
unexp,100,,,,
exp,100,,,,
exp,100,,,,
exp,900,,,,
exp,100,,,,
exp,900,,,,
unexp,800,,,,
unexp,200,,,,
unexp,200,,,,
exp,900,,,,
unexp,700,,,,
unexp,800,,,,
unexp,900,,,,
exp,400,,,,
exp,900,,,,
exp,200,,,,
exp,10,,,,
unexp,900,,,,
exp,700,,,,
unexp,600,,,,
unexp,500,,,,
exp,860,,,,
unexp,400,,,,
unexp,800,,,,
unexp,700,,,,
exp,900,,,,
unexp,300,,,,
exp,500,,,,
unexp,800,,,,
exp,900,,,,
exp,800,,,,
exp,700,,,,
unexp,500,,,,
exp,300,,,,
exp,400,,,,
unexp,300,,,,
unexp,500,,,,
unexp,100,,,,
exp,900,,,,
exp,400,,,,
unexp,500,,,,
exp,500,,,,
unexp,500,,,,
exp,500,,,,
exp,400,,,,
unexp,600,,,,
exp,600,,,,
unexp,300,,,,
exp,400,,,,
unexp,500,,,,
exp,400,,,,
unexp,300,,,,
unexp,990,,,,
unexp,990,,,,
unexp,500,,,,
exp,300,,,,
exp,100,,,,
unexp,900,,,,
exp,999,,,,
unexp,400,,,,
exp,500,,,,
unexp,900,,,,
exp,500,,,,
