thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,trials.corrAns,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,0,1.7993403999134898,None,0,up,0,0,0,0,0.004224499920383096,,0.002239000052213669,0.004224499920383096,1.0067410001065582,1.0067410001065582,2.8301260001026094,up,0,1.7993403999134898,None,0,up,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
1,0,1,up,1,0.7857782000210136,None,-3,down,1,0,1,0,2.838353800121695,,2.830395200056955,2.838353800121695,3.837487099925056,3.837487099925056,4.6375083001330495,up,1,0.7857782000210136,None,-3,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
2,0,2,down,1,1.0870350999757648,None,-4,down,2,0,2,0,4.653612399939448,,4.637936700135469,4.653612399939448,5.65285039995797,5.65285039995797,6.752477000001818,down,1,1.0870350999757648,None,-4,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
3,0,3,up,0,0.6251660999841988,None,0,up,3,0,3,0,6.768467399990186,,6.752876200014725,6.768467399990186,7.767830100143328,7.767830100143328,8.400310100056231,up,0,0.6251660999841988,None,0,up,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
4,0,4,up,1,0.74785489984788,None,4,down,4,0,4,0,8.416756300022826,,8.40046519995667,8.416756300022826,9.416350800078362,9.39985330007039,10.149367799982429,up,1,0.74785489984788,None,4,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
5,0,5,down,1,0.6262417000252753,None,-1,down,5,0,5,0,10.165746700018644,,10.149734999984503,10.165746700018644,11.164989700075239,11.164989700075239,11.798391700023785,down,1,0.6262417000252753,None,-1,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
6,0,6,up,0,0.6411810000427067,None,3,down,6,0,6,0,11.814350500004366,,11.798795599956065,11.814350500004366,12.813586700009182,12.813586700009182,13.463552500121295,up,0,0.6411810000427067,None,3,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
7,0,7,down,1,0.4780478999018669,None,-1,down,7,0,7,0,13.479485200019553,,13.463912399951369,13.479485200019553,14.478949000127614,14.478949000127614,14.962174700107425,down,1,0.4780478999018669,None,-1,down,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
8,0,8,up,0,0.3336213999427855,None,0,up,8,0,8,0,14.978303000098094,,14.962584000080824,14.978303000098094,15.977802500128746,15.977802500128746,16.327298100106418,up,0,0.3336213999427855,None,0,up,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
9,0,9,down,0,0.25509580015204847,None,0,up,9,0,9,0,16.343575099948794,,16.327447100076824,16.343575099948794,17.34307030006312,17.326278200140223,17.593673600116745,down,0,0.25509580015204847,None,0,up,693489,001,2025-09-10_21h32.30.453,single detection,,2025.1.1,60.034712069252784,2025-09-10 21h32.35.541605 +0530,
