stair.thisTrialN,stair.response,stair.stepSize,stair.intensity,Change ,Reversal,Reversal Points,Threshold,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,1,2,10,-2,Reversal,10,17.5,0.0279199,,0.0112056,0.0279199,0.5125784,0.5125784,0.5287463,0.8287667,1.3477064,right,10,1,1,0.8162645,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
1,0,1,8,1,,20,,1.360453,,1.3478213,1.360453,1.8604349,1.8604349,1.8604349,,2.1108526,right,8,0,0,0.2411447,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
2,1,1,9,0,,20,,2.1267653,,2.1110227,2.1267653,2.6097462,2.6097462,2.6263053,,2.876436,left,-9,1,1,0.2575548,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
3,0,1,9,1,,20,,2.8927572,,2.876575,2.8927572,3.3756888,3.3756888,3.392542,,3.4753069,right,9,0,0,0.0990405,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
4,0,1,10,1,,,,3.4917737,,3.4754286,3.4917737,3.9750152,3.9750152,3.9921623,4.2755779,5.1245198,left,-10,0,0,1.1374662,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
5,0,1,11,1,,,,5.1414922,,5.1247847,5.1414922,5.6242838,5.6242838,5.6407912,5.9242112,6.0570459,left,-11,0,0,0.4198106,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
6,1,1,12,0,,,,6.073719,,6.0572033,6.073719,6.5724756,6.5724756,6.5897893,6.8726869,6.9067403,right,12,1,1,0.3276562,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
7,0,1,12,1,,,,6.9229286,,6.9069066,6.9229286,7.4059513,7.4059513,7.422862,7.7054366,8.2569813,right,12,0,0,0.8489642,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
8,0,1,13,1,,,,8.2716222,,8.2571494,8.2716222,8.7713606,8.7713606,8.7713606,9.0717387,9.1383461,left,-13,0,0,0.3601461,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
9,0,1,14,1,,,,9.1543639,,9.1385208,9.1543639,9.654407,9.654407,9.654407,9.9543599,10.1045001,right,14,0,0,0.4430975,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
10,1,1,15,0,,,,10.1203214,,10.1047542,10.1203214,10.6195781,10.6195781,10.636722,10.9193058,10.9697268,right,15,1,1,0.346812,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
11,1,1,15,0,,,,10.9863012,,10.9698781,10.9863012,11.469154,11.469154,11.4856499,,11.7035982,right,15,1,1,0.2275919,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
12,1,1,15,-1,,,,11.7192062,,11.7038746,11.7192062,12.2192877,12.2192877,12.2192877,,12.3866783,right,15,1,1,0.1568226,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
13,1,1,14,0,,,,12.4021505,,12.3869706,12.4021505,12.9019595,12.9019595,12.9019595,,13.1699344,right,14,1,1,0.263819,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
14,0,0.5,14,0.5,,,,13.1848649,,13.1702226,13.1848649,13.6844569,13.6844569,13.6844569,,13.8854898,right,14,0,0,0.1895285,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
15,0,0.5,14.5,0.5,,,,13.9010832,,13.8857832,13.9010832,14.4009074,14.4009074,14.4009074,14.7003798,14.6851984,left,-14.5,0,0,0.2803964,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
16,0,0.5,15,0.5,,,,14.7003798,,14.6854715,14.7003798,15.2000588,15.2000588,15.2000588,15.4996617,15.4840829,left,-15,0,0,0.2750169,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
17,1,0.5,15.5,0,,,,15.4996617,,15.4843847,15.4996617,15.9994684,15.9994684,15.9994684,16.2990655,16.3830319,left,-15.5,1,1,0.3751119,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
18,1,0.5,15.5,0,,,,16.3991253,,16.3833328,16.3991253,16.899017,16.899017,16.899017,17.198894,17.182753,left,-15.5,1,1,0.2766929,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
19,1,0.5,15.5,-0.5,,,,17.198894,,17.1831416,17.198894,17.6977493,17.6977493,17.6977493,,17.9322507,left,-15.5,1,1,0.2289333,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
20,1,0.5,15,0,,,,17.9477532,,17.9325521,17.9477532,18.4474731,18.4474731,18.4474731,,18.7146533,left,-15,1,1,0.2601261,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
21,0,0.5,15,0.5,,,,18.7306483,,18.7149196,18.7306483,19.229959,19.229959,19.229959,19.5294822,19.5136396,left,-15,0,0,0.2741428,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
22,0,0.5,15.5,0.5,,,,19.5294822,,19.513921,19.5294822,20.0294944,20.0294944,20.0294944,,20.2626989,left,-15.5,0,0,0.2241331,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
23,0,0.5,16,0.5,,,,20.2789338,,20.2629688,20.2789338,20.7624605,20.7624605,20.7787032,,21.0120586,left,-16,0,0,0.232335,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
24,1,0.5,16.5,0,,,,21.0280756,,21.0123332,21.0280756,21.5116042,21.5116042,21.5282538,21.811696,21.9959656,left,-16.5,1,1,0.4820462,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
25,0,0.5,16.5,0.5,,,,22.0110572,,21.9963567,22.0110572,22.5109211,22.5109211,22.5109211,22.8105932,22.9110391,right,16.5,0,0,0.3894302,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
26,0,0.5,17,0.5,,,,22.926944,,22.9113315,22.926944,23.4100182,23.4100182,23.4266871,23.7097484,23.7106048,right,17,0,0,0.2859166,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
27,1,0.5,17.5,0,,,,23.7262691,,23.7111448,23.7262691,24.2262134,24.2262134,24.2262134,,24.4601226,right,17.5,1,1,0.2209556,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
28,0,0.5,17.5,0.5,,,,24.4753808,,24.4604212,24.4753808,24.9754112,24.9754112,24.9754112,25.2751131,26.0917202,left,-17.5,0,0,1.1004191,908871,1,2025-09-04_21h31.38.648,Adap.Stair,,2025.1.1,60.23185654,2025-09-04 21h31.39.792505 +0530
