stair.thisTrialN,stair.stepSize,stair.intensity,Change,Reversal,reversal points,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,Threshold value
0,2,10,2,Reversal,10,0.0233892,,0.0065997,0.0233892,0.5075309,0.5075309,0.5232497,0.8064272,2.5096471,0,1.9861102,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,16.66666667
1,1,12,-1,,20,2.5214872,,2.5097607,2.5214872,3.0223545,3.0223545,3.0223545,3.3208918,3.7561105,1,0.7305559,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
2,1,11,0,,20,3.7710805,,3.7562738,3.7710805,4.2705783,4.2705783,4.2705783,4.5696694,4.6868175,1,0.4082201,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
3,1,11,1,,,4.7030054,,4.6869318,4.7030054,5.186527,5.186527,5.2033554,5.4868882,5.9707391,0,0.7821198,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
4,1,12,1,,,5.9856071,,5.9709043,5.9856071,6.4857619,6.4857619,6.4857619,,6.6027376,0,0.1041204,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
5,1,13,0,,,6.6183083,,6.6028948,6.6183083,7.1178877,7.1178877,7.1178877,7.4175272,7.4347753,1,0.3068526,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
6,1,13,1,,,7.4509716,,7.4349696,7.4509716,7.9339043,7.9339043,7.9508616,,8.0358766,0,0.0999625,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
7,1,14,0,,,8.0506479,,8.0360307,8.0506479,8.5506196,8.5506196,8.5506196,,8.6508287,1,0.09293,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
8,1,14,1,,,8.6669614,,8.6509661,8.6669614,9.1663541,9.1663541,9.1663541,9.4670108,10.2327708,0,1.0610419,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
9,1,15,1,,,10.24866,,10.2329242,10.24866,10.7314489,10.7314489,10.7486686,,10.9503042,0,0.2148352,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
10,1,16,0,,,10.9653968,,10.95048,10.9653968,11.4647314,11.4647314,11.4815327,11.7642388,12.9986224,1,1.5302983,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
11,1,16,1,,,13.0138977,,12.9989279,13.0138977,13.5138462,13.5138462,13.5138462,,13.6652132,0,0.1477576,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
12,1,17,0,,,13.6804617,,13.6654912,13.6804617,14.1799642,14.1799642,14.1799642,14.479884,14.6468548,1,0.4537864,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
13,1,17,0,,,14.6625513,,14.6471447,14.6625513,15.1457863,15.1457863,15.1627386,15.4453829,15.5133849,1,0.3640063,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
14,1,17,1,,,15.5285132,,15.5136586,15.5285132,16.0282032,16.0282032,16.0282032,,16.212222,0,0.1753041,412949,1,2025-09-04_10h30.21.047,untitled,,2025.1.1,60.08871497,2025-09-04 10h30.22.144198 +0530,
