reward_today,future_reward,delay,key_resp.keys,K value,
20,30,1,l,9,0.537
20,50,60,t,29.98333333,
25,35,60,t,9.983333333,
30,60,1,l,29,
15,45,7,l,29.85714286,
20,30,90,t,9.988888889,
20,30,7,t,9.857142857,
20,35,7,t,14.85714286,
5,35,7,l,29.85714286,
5,25,1,l,19,
30,40,1,l,9,
5,30,1,l,24,
20,45,90,t,24.98888889,
10,25,60,t,14.98333333,
15,25,30,t,9.966666667,
20,45,14,t,24.92857143,
20,30,1,l,9,
20,50,3,l,29.66666667,
10,30,7,l,19.85714286,
5,25,14,t,19.92857143,
10,35,30,t,24.96666667,
10,30,30,t,19.96666667,
20,50,14,t,29.92857143,
20,45,7,l,24.85714286,
20,30,1,l,9,
5,15,60,t,9.983333333,
15,25,7,l,9.857142857,
30,40,30,t,9.966666667,
10,40,14,t,29.92857143,
10,30,30,t,19.96666667,
20,50,3,l,29.66666667,
10,20,7,l,9.857142857,
30,55,14,t,24.92857143,
20,40,3,l,19.66666667,
25,35,7,t,9.857142857,
25,35,7,t,9.857142857,
30,40,14,t,9.928571429,
30,45,7,t,14.85714286,
10,30,90,t,19.98888889,
30,55,7,t,24.85714286,
15,35,1,l,19,
30,50,3,l,19.66666667,
20,50,7,l,29.85714286,
20,50,60,t,29.98333333,
20,30,60,t,9.983333333,
15,25,7,t,9.857142857,
15,35,1,l,19,
25,50,90,t,24.98888889,
15,40,3,l,24.66666667,
20,40,60,t,19.98333333,
5,15,90,t,9.988888889,
30,55,7,l,24.85714286,
20,35,7,l,14.85714286,
5,25,60,t,19.98333333,
5,25,90,t,19.98888889,
10,20,1,l,9,
5,25,7,l,19.85714286,
10,20,14,t,9.928571429,
30,55,90,t,24.98888889,
25,35,30,t,9.966666667,
10,20,1,l,9,
30,50,14,t,19.92857143,
25,55,3,l,29.66666667,
20,40,90,t,19.98888889,
30,50,7,t,19.85714286,
30,40,14,t,9.928571429,
25,40,14,t,14.92857143,
25,50,60,t,24.98333333,
25,40,1,l,14,
30,60,14,t,29.92857143,
5,35,14,t,29.92857143,
20,45,60,t,24.98333333,
25,40,1,l,14,
30,40,14,t,9.928571429,
10,25,14,t,14.92857143,
10,30,3,l,19.66666667,
20,35,90,t,14.98888889,
15,45,90,t,29.98888889,
15,30,14,l,14.92857143,
10,40,1,l,29,
30,50,60,t,19.98333333,
25,35,30,t,9.966666667,
25,50,60,t,24.98333333,
10,25,7,l,14.85714286,
10,35,3,l,24.66666667,
25,45,3,l,19.66666667,
5,30,1,l,24,
15,35,1,l,19,
20,35,14,t,14.92857143,
10,20,1,l,9,
25,35,3,l,9.666666667,
20,45,90,t,24.98888889,
25,45,60,t,19.98333333,
30,50,14,t,19.92857143,
10,40,1,l,29,
20,45,1,l,24,
25,50,3,l,24.66666667,
25,35,90,t,9.988888889,
10,35,14,t,24.92857143,
15,25,14,t,9.928571429,
