reward_today,future_reward,delay,key_resp.keys,K Value,,,,,
30,60,1,t,29,0.097,,,,
10,30,7,l,19.85714286,,,,,
20,35,7,t,14.85714286,,,,Final Summary Table,
15,25,7,l,9.857142857,,,,P1,0.371
10,20,14,l,9.928571429,,,,P2,0.283
15,45,7,l,29.85714286,,,,P3,0.537
15,25,30,l,9.966666667,,,,P4,0.097
25,45,3,l,19.66666667,,,,,
20,45,7,l,24.85714286,,,,group k-value,0.27194219
20,40,60,l,19.98333333,,,,,
5,35,14,l,29.92857143,,,,,
30,40,14,l,9.928571429,,,,,
20,50,14,l,29.92857143,,,,,
30,55,14,l,24.92857143,,,,,
10,35,14,l,24.92857143,,,,,
30,55,7,l,24.85714286,,,,,
10,40,1,l,29,,,,,
20,50,60,l,29.98333333,,,,,
20,45,90,l,24.98888889,,,,,
15,45,90,l,29.98888889,,,,,
20,40,3,l,19.66666667,,,,,
10,25,7,l,14.85714286,,,,,
5,25,60,l,19.98333333,,,,,
30,40,14,l,9.928571429,,,,,
25,50,60,l,24.98333333,,,,,
20,50,3,l,29.66666667,,,,,
5,15,90,l,9.988888889,,,,,
20,30,1,t,9,,,,,
20,40,90,l,19.98888889,,,,,
20,35,7,l,14.85714286,,,,,
20,45,60,l,24.98333333,,,,,
10,20,1,t,9,,,,,
10,20,7,l,9.857142857,,,,,
10,30,30,l,19.96666667,,,,,
5,30,1,t,24,,,,,
30,55,90,l,24.98888889,,,,,
30,45,7,l,14.85714286,,,,,
25,50,90,l,24.98888889,,,,,
5,25,90,l,19.98888889,,,,,
5,35,7,l,29.85714286,,,,,
20,50,60,t,29.98333333,,,,,
25,55,3,t,29.66666667,,,,,
20,30,1,t,9,,,,,
30,40,1,t,9,,,,,
15,30,14,l,14.92857143,,,,,
25,50,60,l,24.98333333,,,,,
25,50,3,l,24.66666667,,,,,
25,35,30,l,9.966666667,,,,,
10,20,1,t,9,,,,,
10,30,30,l,19.96666667,,,,,
30,50,14,l,19.92857143,,,,,
20,35,90,l,14.98888889,,,,,
20,50,7,l,29.85714286,,,,,
30,40,30,t,9.966666667,,,,,
20,35,14,l,14.92857143,,,,,
20,45,14,l,24.92857143,,,,,
15,40,3,l,24.66666667,,,,,
25,35,60,l,9.983333333,,,,,
10,25,14,l,14.92857143,,,,,
30,50,14,l,19.92857143,,,,,
30,50,60,l,19.98333333,,,,,
25,40,14,l,14.92857143,,,,,
25,35,7,l,9.857142857,,,,,
25,35,7,l,9.857142857,,,,,
10,35,3,l,24.66666667,,,,,
20,30,60,l,9.983333333,,,,,
5,25,7,l,19.85714286,,,,,
10,35,30,l,24.96666667,,,,,
5,25,1,t,19,,,,,
5,30,1,t,24,,,,,
10,30,90,l,19.98888889,,,,,
20,30,1,t,9,,,,,
30,55,7,t,24.85714286,,,,,
10,40,14,t,29.92857143,,,,,
5,25,14,t,19.92857143,,,,,
20,45,90,t,24.98888889,,,,,
30,50,3,l,19.66666667,,,,,
5,15,60,t,9.983333333,,,,,
20,30,7,l,9.857142857,,,,,
30,50,7,l,19.85714286,,,,,
25,40,1,l,14,,,,,
25,35,3,l,9.666666667,,,,,
25,40,1,l,14,,,,,
10,40,1,l,29,,,,,
25,45,60,t,19.98333333,,,,,
20,30,90,t,9.988888889,,,,,
15,35,1,l,19,,,,,
15,35,1,l,19,,,,,
25,35,90,t,9.988888889,,,,,
15,25,7,l,9.857142857,,,,,
30,40,14,t,9.928571429,,,,,
15,35,1,t,19,,,,,
20,45,1,l,24,,,,,
20,50,3,l,29.66666667,,,,,
10,30,3,l,19.66666667,,,,,
15,25,14,t,9.928571429,,,,,
30,60,14,l,29.92857143,,,,,
10,20,1,l,9,,,,,
25,35,30,t,9.966666667,,,,,
10,25,60,t,14.98333333,,,,,
